"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","366","Test EVM SDK Test EVM Base SDK recover address Recover address Get address 0","","Thu Apr 30 09:41:46 UTC 2026","passed","Thu Apr 30 09:41:46 UTC 2026","","Test EVM SDK","Test EVM SDK Test EVM Base SDK recover address Recover address Get address 0",""
"","283","Test EVM SDK Test EVM Avax C SDK send erc20 token to 0x8A1628c2397F6cA75579A45E81EE3e17DF19720e SUSHI token:","","Thu Apr 30 09:41:46 UTC 2026","passed","Thu Apr 30 09:41:46 UTC 2026","","Test EVM SDK","Test EVM SDK Test EVM Avax C SDK send erc20 token to 0x8A1628c2397F6cA75579A45E81EE3e17DF19720e SUSHI token:",""
"","300","Test EVM SDK Test EVM BSC SDK Send smart contract transaction to 0x7ceb23fd6bc0add59e62ac25578270cff1b9f619","","Thu Apr 30 09:41:46 UTC 2026","passed","Thu Apr 30 09:41:46 UTC 2026","","Test EVM SDK","Test EVM SDK Test EVM BSC SDK Send smart contract transaction to 0x7ceb23fd6bc0add59e62ac25578270cff1b9f619",""
"","276","Test EVM SDK Test EVM Avax C SDK Send eip1559 erc20 transaction to 0x8A1628c2397F6cA75579A45E81EE3e17DF19720e TUSD token:","","Thu Apr 30 09:41:46 UTC 2026","passed","Thu Apr 30 09:41:46 UTC 2026","","Test EVM SDK","Test EVM SDK Test EVM Avax C SDK Send eip1559 erc20 transaction to 0x8A1628c2397F6cA75579A45E81EE3e17DF19720e TUSD token:",""
"","489","Test EVM SDK Test EVM Cronos SDK send erc20 token to 0x8A1628c2397F6cA75579A45E81EE3e17DF19720e USDT token:","","Thu Apr 30 09:41:46 UTC 2026","passed","Thu Apr 30 09:41:46 UTC 2026","","Test EVM SDK","Test EVM SDK Test EVM Cronos SDK send erc20 token to 0x8A1628c2397F6cA75579A45E81EE3e17DF19720e USDT token:",""
"","612","Test EVM SDK Test EVM Celo SDK Send smart contract segment transaction to 0x7ceb23fd6bc0add59e62ac25578270cff1b9f619","","Thu Apr 30 09:41:46 UTC 2026","passed","Thu Apr 30 09:41:46 UTC 2026","","Test EVM SDK","Test EVM SDK Test EVM Celo SDK Send smart contract segment transaction to 0x7ceb23fd6bc0add59e62ac25578270cff1b9f619",""
"","437","Test EVM SDK Test EVM Arbitrum SDK Send eip1559 erc20 transaction to 0x8A1628c2397F6cA75579A45E81EE3e17DF19720e AAVE token:","","Thu Apr 30 09:41:46 UTC 2026","passed","Thu Apr 30 09:41:46 UTC 2026","","Test EVM SDK","Test EVM SDK Test EVM Arbitrum SDK Send eip1559 erc20 transaction to 0x8A1628c2397F6cA75579A45E81EE3e17DF19720e AAVE token:",""
"","613","Test EVM SDK Test EVM Flare SDK Send smart contract segment transaction to ","","Thu Apr 30 09:41:46 UTC 2026","passed","Thu Apr 30 09:41:46 UTC 2026","","Test EVM SDK","Test EVM SDK Test EVM Flare SDK Send smart contract segment transaction to ",""
"","451","Test EVM SDK Test EVM OKX SDK Send eip1559 erc20 transaction to 0x8A1628c2397F6cA75579A45E81EE3e17DF19720e USDT token:","","Thu Apr 30 09:41:46 UTC 2026","passed","Thu Apr 30 09:41:46 UTC 2026","","Test EVM SDK","Test EVM SDK Test EVM OKX SDK Send eip1559 erc20 transaction to 0x8A1628c2397F6cA75579A45E81EE3e17DF19720e USDT token:",""
"","465","Test EVM SDK Test EVM Avax C SDK send erc20 token to 0x8A1628c2397F6cA75579A45E81EE3e17DF19720e DAI.e token:","","Thu Apr 30 09:41:46 UTC 2026","passed","Thu Apr 30 09:41:46 UTC 2026","","Test EVM SDK","Test EVM SDK Test EVM Avax C SDK send erc20 token to 0x8A1628c2397F6cA75579A45E81EE3e17DF19720e DAI.e token:",""
"","619","Test EVM SDK Test EVM Avax C SDK Send smart contract segment transaction to 0x8A1628c2397F6cA75579A45E81EE3e17DF19720e","","Thu Apr 30 09:41:46 UTC 2026","passed","Thu Apr 30 09:41:46 UTC 2026","","Test EVM SDK","Test EVM SDK Test EVM Avax C SDK Send smart contract segment transaction to 0x8A1628c2397F6cA75579A45E81EE3e17DF19720e",""
"","300","Test EVM SDK Test EVM Scroll SDK Send transaction to $to","","Thu Apr 30 09:41:46 UTC 2026","passed","Thu Apr 30 09:41:46 UTC 2026","","Test EVM SDK","Test EVM SDK Test EVM Scroll SDK Send transaction to $to",""
"","299","Test EVM SDK Test EVM Avax C SDK Send eip1559 erc20 transaction to 0x8A1628c2397F6cA75579A45E81EE3e17DF19720e USDT.e token:","","Thu Apr 30 09:41:46 UTC 2026","passed","Thu Apr 30 09:41:46 UTC 2026","","Test EVM SDK","Test EVM SDK Test EVM Avax C SDK Send eip1559 erc20 transaction to 0x8A1628c2397F6cA75579A45E81EE3e17DF19720e USDT.e token:",""
"","449","Test EVM SDK Test EVM Celo SDK Send transaction to 0x8A1628c2397F6cA75579A45E81EE3e17DF19720e","","Thu Apr 30 09:41:46 UTC 2026","passed","Thu Apr 30 09:41:46 UTC 2026","","Test EVM SDK","Test EVM SDK Test EVM Celo SDK Send transaction to 0x8A1628c2397F6cA75579A45E81EE3e17DF19720e",""
"","287","Test EVM SDK Test EVM Aurora SDK Send transaction to 0x8A1628c2397F6cA75579A45E81EE3e17DF19720e","","Thu Apr 30 09:41:46 UTC 2026","passed","Thu Apr 30 09:41:46 UTC 2026","","Test EVM SDK","Test EVM SDK Test EVM Aurora SDK Send transaction to 0x8A1628c2397F6cA75579A45E81EE3e17DF19720e",""
"","463","Test EVM SDK Test EVM Polygon SDK Send eip1559 erc20 transaction to 0x8A1628c2397F6cA75579A45E81EE3e17DF19720e ORDER token:","","Thu Apr 30 09:41:46 UTC 2026","passed","Thu Apr 30 09:41:46 UTC 2026","","Test EVM SDK","Test EVM SDK Test EVM Polygon SDK Send eip1559 erc20 transaction to 0x8A1628c2397F6cA75579A45E81EE3e17DF19720e ORDER token:",""
