"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Thu May 15 06:12:14 GMT 2025","Thu May 15 06:12:14 GMT 2025","0","","Test CoolWallet SDK Core Functional","","Test CoolWallet SDK Core Functional Test algorand","","Test CoolWallet SDK Core Functional Test algorand",""
"failed","Thu May 15 06:12:14 GMT 2025","Thu May 15 06:12:14 GMT 2025","0","","Test CoolWallet SDK Core Functional","","Seed backup and recovery in OTA (firmware update) flow Backup Register Data backup failed: not supports repeated execution","","Seed backup and recovery in OTA (firmware update) flow Backup Register Data backup failed: not supports repeated execution",""
"failed","Thu May 15 06:12:21 GMT 2025","Thu May 15 06:12:21 GMT 2025","0","","Test signECDSA","","Test signECDSA should sign eth transaction hash correctly","","Test signECDSA should sign eth transaction hash correctly",""
"passed","Thu May 15 06:12:21 GMT 2025","Thu May 15 06:12:21 GMT 2025","65","","utils","","utils createSeedsHexByMnemonic","","utils createSeedsHexByMnemonic",""
"failed","Thu May 15 06:12:14 GMT 2025","Thu May 15 06:12:14 GMT 2025","1","","Test CoolWallet SDK Core Functional","","Test CoolWallet SDK Core Functional Test derive Curve25519 publicKey","","Test CoolWallet SDK Core Functional Test derive Curve25519 publicKey",""
"failed","Thu May 15 06:12:14 GMT 2025","Thu May 15 06:12:14 GMT 2025","0","","Test CoolWallet SDK Core Functional","","Seed backup and recovery in OTA (firmware update) flow Backup Register Data backup failed: no register data","","Seed backup and recovery in OTA (firmware update) flow Backup Register Data backup failed: no register data",""
"failed","Thu May 15 06:12:14 GMT 2025","Thu May 15 06:12:14 GMT 2025","0","","Test CoolWallet SDK Core Functional","","Seed backup and recovery in OTA (firmware update) flow Recover Register Data recover failed: no backup data","","Seed backup and recovery in OTA (firmware update) flow Recover Register Data recover failed: no backup data",""
"failed","Thu May 15 06:12:14 GMT 2025","Thu May 15 06:12:14 GMT 2025","0","","Test CoolWallet SDK Core Functional","","Seed backup and recovery in OTA (firmware update) flow Delete Register Data delete succeeds","","Seed backup and recovery in OTA (firmware update) flow Delete Register Data delete succeeds",""
"failed","Thu May 15 06:12:14 GMT 2025","Thu May 15 06:12:14 GMT 2025","0","","Test CoolWallet SDK Core Functional","","Test CoolWallet SDK Core Register Test register success","","Test CoolWallet SDK Core Register Test register success",""
"failed","Thu May 15 06:12:14 GMT 2025","Thu May 15 06:12:14 GMT 2025","0","","Test CoolWallet SDK Core Functional","","Test CoolWallet SDK Core Backup Test backup","","Test CoolWallet SDK Core Backup Test backup",""
"failed","Thu May 15 06:12:14 GMT 2025","Thu May 15 06:12:14 GMT 2025","0","","Test CoolWallet SDK Core Functional","","Seed backup and recovery in OTA (firmware update) flow Backup Register Data backup succeeds","","Seed backup and recovery in OTA (firmware update) flow Backup Register Data backup succeeds",""
"failed","Thu May 15 06:12:14 GMT 2025","Thu May 15 06:12:14 GMT 2025","0","","Test CoolWallet SDK Core Functional","","Seed backup and recovery in OTA (firmware update) flow Backup Register Data backup succeeds even if the appId can't be recognized","","Seed backup and recovery in OTA (firmware update) flow Backup Register Data backup succeeds even if the appId can't be recognized",""
"failed","Thu May 15 06:12:14 GMT 2025","Thu May 15 06:12:14 GMT 2025","0","","Test CoolWallet SDK Core Functional","","Seed backup and recovery in OTA (firmware update) flow Recover Register Data recover succeeds","","Seed backup and recovery in OTA (firmware update) flow Recover Register Data recover succeeds",""
"failed","Thu May 15 06:12:14 GMT 2025","Thu May 15 06:12:14 GMT 2025","0","","Test CoolWallet SDK Core Functional","","Seed backup and recovery in OTA (firmware update) flow Delete Register Data delete succeeds with no backup data and supports repeated execution","","Seed backup and recovery in OTA (firmware update) flow Delete Register Data delete succeeds with no backup data and supports repeated execution",""
"failed","Thu May 15 06:12:14 GMT 2025","Thu May 15 06:12:14 GMT 2025","0","","Test CoolWallet SDK Core Functional","","Seed backup and recovery in OTA (firmware update) flow Delete Register Data delete failed: the appId can't be recognized","","Seed backup and recovery in OTA (firmware update) flow Delete Register Data delete failed: the appId can't be recognized",""
"skipped","Thu May 15 06:12:14 GMT 2025","Thu May 15 06:12:14 GMT 2025","0","","Test CoolWallet SDK Core Functional","","Test CoolWallet SDK Core Functional Test rlp erc20 execute script","","Test CoolWallet SDK Core Functional Test rlp erc20 execute script",""
