"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Nov 05 07:14:03 GMT 2024","Tue Nov 05 07:14:03 GMT 2024","344","","Test EVM SDK","","Test EVM SDK Test EVM Cronos SDK Send transaction to 0x8A1628c2397F6cA75579A45E81EE3e17DF19720e","","Test EVM SDK Test EVM Cronos SDK Send transaction to 0x8A1628c2397F6cA75579A45E81EE3e17DF19720e",""
"passed","Tue Nov 05 07:14:03 GMT 2024","Tue Nov 05 07:14:03 GMT 2024","493","","Test EVM SDK","","Test EVM SDK Test EVM Polygon SDK Send eip1559 erc20 transaction to 0x8A1628c2397F6cA75579A45E81EE3e17DF19720e WBTC token:","","Test EVM SDK Test EVM Polygon SDK Send eip1559 erc20 transaction to 0x8A1628c2397F6cA75579A45E81EE3e17DF19720e WBTC token:",""
"passed","Tue Nov 05 07:09:51 GMT 2024","Tue Nov 05 07:09:51 GMT 2024","302","","Test ETH SDK","","Test ETH SDK ETH test sign erc20 transactions 0x8A1628c2397F6cA75579A45E81EE3e17DF19720e CRV token","","Test ETH SDK ETH test sign erc20 transactions 0x8A1628c2397F6cA75579A45E81EE3e17DF19720e CRV token",""
"passed","Tue Nov 05 07:09:51 GMT 2024","Tue Nov 05 07:09:51 GMT 2024","500","","Test ETH SDK","","Test ETH SDK ETH test sign erc20 transactions 0x8A1628c2397F6cA75579A45E81EE3e17DF19720e BAL token","","Test ETH SDK ETH test sign erc20 transactions 0x8A1628c2397F6cA75579A45E81EE3e17DF19720e BAL token",""
"passed","Tue Nov 05 07:14:03 GMT 2024","Tue Nov 05 07:14:03 GMT 2024","478","","Test EVM SDK","","Test EVM SDK Test EVM Aurora SDK Send eip1559 smart transaction to 0x8A1628c2397F6cA75579A45E81EE3e17DF19720e","","Test EVM SDK Test EVM Aurora SDK Send eip1559 smart transaction to 0x8A1628c2397F6cA75579A45E81EE3e17DF19720e",""
"passed","Tue Nov 05 07:14:03 GMT 2024","Tue Nov 05 07:14:03 GMT 2024","795","","Test EVM SDK","","Test EVM SDK Test EVM Fantom SDK Send eip1559 smart transaction to $to","","Test EVM SDK Test EVM Fantom SDK Send eip1559 smart transaction to $to",""
"passed","Tue Nov 05 07:14:03 GMT 2024","Tue Nov 05 07:14:03 GMT 2024","497","","Test EVM SDK","","Test EVM SDK Test EVM Celo SDK Send smart contract transaction to 0x8A1628c2397F6cA75579A45E81EE3e17DF19720e","","Test EVM SDK Test EVM Celo SDK Send smart contract transaction to 0x8A1628c2397F6cA75579A45E81EE3e17DF19720e",""
"passed","Tue Nov 05 07:20:19 GMT 2024","Tue Nov 05 07:20:19 GMT 2024","245","","Test TON SDK","","Test TON SDK Test Sign Transfer transfer with sendMode 3","","Test TON SDK Test Sign Transfer transfer with sendMode 3",""
"passed","Tue Nov 05 07:14:03 GMT 2024","Tue Nov 05 07:14:03 GMT 2024","624","","Test EVM SDK","","Test EVM SDK Test EVM Avax C SDK Send eip1559 smart contract segment transaction to $to","","Test EVM SDK Test EVM Avax C SDK Send eip1559 smart contract segment transaction to $to",""
"passed","Tue Nov 05 07:09:51 GMT 2024","Tue Nov 05 07:09:51 GMT 2024","497","","Test ETH SDK","","Test ETH SDK ETH test sign eip1559 erc20 transactions 0x8A1628c2397F6cA75579A45E81EE3e17DF19720e SUSHI token","","Test ETH SDK ETH test sign eip1559 erc20 transactions 0x8A1628c2397F6cA75579A45E81EE3e17DF19720e SUSHI token",""
